model,ad_title,year,km,color,price,ad_date,location
"
                        1.6","















    1998 VOLKSWAGEN Polo 1.6+LPG



","
                    1998","
                    261.000","
                    Mavi","
 20.500 TL","
25 Aralık

2019
","
                        MersinYenişehir"
"
                        1.6 Comfortline Classic","















    Ilıcalıdan 98 model polo Classic klimalı



","
                    1998","
                    250.000","
                    Gri","
 26.750 TL","
25 Aralık

2019
","
                        BalıkesirKaresi"
"
                        1.4 TDi Basicline","















    2004 Polo Temiz Orjinal
","
                    2004","
                    253.000","
                    Kırmızı","
 33.250 TL","
25 Aralık

2019
","
                        DüzceMerkez"
"
                        1.6","















    2022 Muayene'li Masrafsız Değişensiz Hatasız Klima'lı 1.6 POLO
","
                    1998","
                    274.000","
                    Gümüş Gri","
 27.900 TL","
25 Aralık

2019
","
                        AnkaraAltındağ"
"
                        1.6 TDi Comfortline","















    POLO 1.6 TDI DİZEL COMFORTLİNE ÇELİK JANT+SİS FARI+PARK SENSÖRÜ



","
                    2010","
                    260.000","
                    Beyaz","
 51.900 TL","
25 Aralık

2019
","
                        BursaOsmangazi"
"
                        1.6 Comfortline Classic","















    polo classic 100lük acil temiz
","
                    2001","
                    275.000","
                    Lacivert","
 26.800 TL","
25 Aralık

2019
","
                        AnkaraSincan"
"
                        1.4 Trendline","















    ÖĞRETMENDEN 1.4 LPG'Lİ POLO
","
                    2000","
                    275.000","
                    Beyaz","
 33.000 TL","
26 Aralık

2019
","
                        BursaOsmangazi"
"
                        1.4 Comfortline","















    Kara Şövalye Satışta
","
                    2004","
                    290.000","
                    Siyah","
 42.500 TL","
26 Aralık

2019
","
                        AnkaraNallıhan"
"
                        1.4 Comfortline","















    Acil satılık
","
                    2002","
                    245.000","
                    Kırmızı","
 32.000 TL","
26 Aralık

2019
","
                        HatayDörtyol"
"
                        1.4 TDi Trendline","















    EGELER DEN HASAR KAYITSIZ 2014 POLO TAKAS VADE OLUR.



","
                    2014","
                    270.000","
                    Kırmızı","
 65.750 TL","
26 Aralık

2019
","
                        İzmirBergama"
"
                        1.4 Trendline","















    Temiz POLO
","
                    2000","
                    268.000","
                    Gri","
 32.000 TL","
26 Aralık

2019
","
                        ManisaTurgutlu"
"
                        1.4 Trendline","















    2004 VOLKSWAGEN POLO 1,4 CC 75 BG OTOMATİK LPG'Lİ DEĞİŞENSİZ



","
                    2004","
                    237.000","
                    Gümüş Gri","
 47.900 TL","
26 Aralık

2019
","
                        KonyaKaratay"
"
                        1.6 Classic","















    KİLİCASLAN OTOMOTİV ÇOK TEMİZ POLO 1.6 CLASS LPG. ..



","
                    2000","
                    240.000","
                    Beyaz","
 32.000 TL","
26 Aralık

2019
","
                        SivasMerkez"
"
                        1.4 Highline","















    Full paket-Yeni muayeneli- Sahibinden- Ocak MTV si ödenecek
","
                    2001","
                    296.320","
                    Mavi","
 29.500 TL","
26 Aralık

2019
","
                        AnkaraPolatlı"
"
                        1.6","















    1997 MODEL KİLİMALI 230.000 KİLOMETREDE WOLKWAGEN POLO 1.6 FUUL



","
                    1998","
                    230.000","
                    Mavi","
 24.900 TL","
26 Aralık

2019
","
                        KonyaKaratay"
"
                        1.6 Classic","















    Temiz polo
","
                    1998","
                    250.000","
                    Beyaz","
 25.500 TL","
26 Aralık

2019
","
                        AnkaraKeçiören"
"
                        1.6 Classic","















    SAHİBİNDEN SATILIKTIR
","
                    1998","
                    270.000","
                    Füme","
 23.500 TL","
26 Aralık

2019
","
                        AntalyaKemer"
"
                        1.4","















    ÖZEL OLMAK İSTEYENLERE 96 POLO HATASIZ



","
                    1996","
                    259.000","
                    Lacivert","
 18.750 TL","
26 Aralık

2019
","
                        AnkaraMamak"
"
                        1.4 Comfortline","















    sunroof+otomatik temiz polo
","
                    2006","
                    270.000","
                    Gri","
 47.000 TL","
26 Aralık

2019
","
                        BursaNilüfer"
"
                        1.6","















    VW - POLO HB - 1.6 - LPG - DEĞİŞENSİZ - SIFIR VİZE



","
                    1996","
                    252.000","
                    Bordo","
 22.500 TL","
26 Aralık

2019
","
                        KonyaKaratay"
"
                        1.4 TDi Comfortline","















    SAHİBİNDEN 1.4 TDİ TEMİZ POLO - FİYAT DÜŞTÜÜ
","
                    2003","
                    260.000","
                    Beyaz","
 34.500 TL","
26 Aralık

2019
","
                        İstanbulEsenler"
"
                        1.4 TDi Trendline","















    FIAT YÖN OTOMOTİV'DEN VW POLO 1.4 TDI 80 HP DİZEL



","
                    2006","
                    262.800","
                    Gri","
 39.900 TL","
26 Aralık

2019
","
                        MuğlaFethiye"
"
                        1.6 Classic","















    temiz aile arabası
","
                    2000","
                    247.802","
                    Gri","
 26.000 TL","
26 Aralık

2019
","
                        BoluMudurnu"
"
                        1.6 TDi Comfortline","















    VİZYONDAN 1.6 TDİ POLO



","
                    2011","
                    245.800","
                    Beyaz","
 55.000 TL","
26 Aralık

2019
","
                        BurdurBucak"
"
                        1.6","















    Bayandan bakımlı araç
","
                    1998","
                    244.209","
                    Beyaz","
 24.750 TL","
26 Aralık

2019
","
                        AnkaraAltındağ"
"
                        1.6 Classic","















    TEMİZ ARAYANLARA ACİL !!
","
                    1998","
                    280.000","
                    Beyaz","
 27.250 TL","
26 Aralık

2019
","
                        NevşehirMerkez"
"
                        1.6 Comfortline Classic","















    TERTEMİZ SUNROOF'LU 1.6 WW POLO SEDAN



","
                    1998","
                    267.000","
                    Mavi","
 27.500 TL","
26 Aralık

2019
","
                        KastamonuMerkez"
"
                        1.4 TDi Comfortline","















    BOSTAN CARS'DAN - 2004 VW POLO 1.4 TDİ - HATASIZ - İÇİ BEJ



","
                    2004","
                    300.000","
                    Mor","
 34.750 TL","
26 Aralık

2019
","
                        AnkaraYenimahalle"
"
                        1.4 TDi Trendline","















    Tertemiz 2008 Polo 1.4 TDİ
","
                    2008","
                    235.000","
                    Siyah","
 40.500 TL","
26 Aralık

2019
","
                        KonyaSelçuklu"
"
                        1.4 Trendline","















    2001 DÜRBÜN GÖĞÜS POLO SON INDIRIM
","
                    2001","
                    250.000","
                    Gümüş Gri","
 32.250 TL","
26 Aralık

2019
","
                        AnkaraKeçiören"
"
                        1.6 Classic","















    GÜRKAN OTODAN HATASIZ DÜRBÜN GÖĞÜS POLO CLASSİC



","
                    2000","
                    240.000","
                    Kırmızı","
 27.900 TL","
27 Aralık

2019
","
                        KütahyaMerkez"
"
                        1.4","















    Bu fiyata otomatik yok



","
                    2000","
                    235.000","
                    Gümüş Gri","
 34.750 TL","
27 Aralık

2019
","
                        AdıyamanMerkez"
"
                        1.4 Highline","















    Temiz Volkswagen Polo 1.4 Full Paket
","
                    2000","
                    250.000","
                    Gri","
 30.500 TL","
27 Aralık

2019
","
                        BursaOsmangazi"
"
                        1.4 TDi Trendline","















    ER-TUR OTOMOTİV'DEN 2007 MODEL POLO



","
                    2007","
                    256.500","
                    Siyah","
 41.900 TL","
27 Aralık

2019
","
                        KırıkkaleYahşihan"
"
                        1.6 Comfortline Classic","















    Polo Classic Dürbün Göğüs
","
                    2001","
                    240.000","
                    Beyaz","
 30.000 TL","
27 Aralık

2019
","
                        KonyaÇumra"
"
                        1.6 Classic","















    100 lük çift airbag abs klima
","
                    1998","
                    249.000","
                    Yeşil","
 23.750 TL","
27 Aralık

2019
","
                        AfyonkarahisarMerkez"
"
                        1.6","















    MASRAFSIZ TAM OTOMATİK POLO



","
                    1999","
                    260.000","
                    Beyaz","
 30.500 TL","
27 Aralık

2019
","
                        KırıkkaleMerkez"
"
                        1.4 Trendline","















    ACİL SATILIK 2006 1.4 POLO
","
                    2006","
                    280.000","
                    Siyah","
 40.500 TL","
27 Aralık

2019
","
                        AdanaSaimbeyli"
"
                        1.4 Basicline","















    Vw polo 2004 basicline boyasız hasar kayıtsız
","
                    2004","
                    258.000","
                    Beyaz","
 42.000 TL","
27 Aralık

2019
","
                        YozgatAkdağmadeni"
"
                        1.9 TDi Comfortline Classic","















    2001 Model Polo Sedan 1.9 TDi Dürbün Göğüs Klimalı



","
                    2001","
                    303.000","
                    Gümüş Gri","
 24.500 TL","
27 Aralık

2019
","
                        AdanaSeyhan"
"
                        1.4 TDi Comfortline","















    KAZASIZ DEĞİŞENSİZ DİZEL ABS Lİ MASRAFSIZ TERTEMİZ COMFRT.POLO



","
                    2003","
                    249.000","
                    Gümüş Gri","
 35.900 TL","
27 Aralık

2019
","
                        AntalyaManavgat"
"
                        1.6","















    SS otomotivden 96 model ww polo 1.6 klimalı



","
                    1996","
                    250.000","
                    Füme","
 25.750 TL","
27 Aralık

2019
","
                        DüzceCumayeri"
"
                        1.4 Trendline","















    Değişensiz Tramersiz temiz Polo
","
                    2008","
                    298.000","
                    Beyaz","
 40.200 TL","
27 Aralık

2019
","
                        GaziantepŞahinbey"
"
                        1.6 Comfortline Classic","















    İlk gelen alır .
","
                    1998","
                    278.000","
                    Kırmızı","
 25.000 TL","
27 Aralık

2019
","
                        ManisaTurgutlu"
"
                        1.4 Sportline","















    İLK GELEN ALIR.
","
                    1997","
                    230.000","
                    Kırmızı","
 23.000 TL","
27 Aralık

2019
","
                        İstanbulSarıyer"
"
                        1.6","















    OTOMATİK VİTES 1996 Ww POLO 1.6 KAZASIZ DEĞİŞENSİZ KUPON ARAÇ



","
                    1996","
                    299.000","
                    Bordo","
 26.750 TL","
27 Aralık

2019
","
                        AnkaraSincan"
"
                        1.4 Comfortline","















    KUP-10 GARAJ'DAN AİR'Lİ DURBAN JANT LED FAR POLO



","
                    2010","
                    231.000","
                    Kırmızı","
 56.500 TL","
27 Aralık

2019
","
                        MuğlaFethiye"
"
                        1.6 GTi","















    AUTONAZ 'DAN VOLKSWAGEN POLO



","
                    2001","
                    230.000","
                    Gri","
 36.000 TL","
27 Aralık

2019
","
                        İstanbulBeykoz"
"
                        1.6","















    1997 MODEL HATASIZ POLO CLASSIC



","
                    1997","
                    270.000","
                    Mavi","
 19.750 TL","
27 Aralık

2019
","
                        AntalyaManavgat"
"
                        1.4 Highline","















    İYİ MAL İYİ PARA :)
","
                    2002","
                    268.000","
                    Gümüş Gri","
 34.500 TL","
27 Aralık

2019
","
                        MersinTarsus"
"
                        1.6 Classic","















    bakımlı masrafsız tertemiz aile aracı bu kadar masraftan sonra
","
                    2000","
                    262.000","
                    Kırmızı","
 26.000 TL","
27 Aralık

2019
","
                        KayseriTalas"
"
                        1.6","















    ANTALYAYA HAYIRLI OLSUN
","
                    1999","
                    299.000","
                    Kırmızı","
 22.500 TL","
27 Aralık

2019
","
                        UşakMerkez"
"
                        1.6 Classic","















    Satlik polo 1.6
","
                    1998","
                    272.000","
                    Beyaz","
 25.000 TL","
27 Aralık

2019
","
                        ErzurumPalandöken"
"
                        1.6 Classic","















    VFK ' DAN 100 HP KLİMALI WOLKSWAGEN POLO 1.6 CLASSİC 1997 MODEL!



","
                    1997","
                    277.000","
                    Beyaz","
 23.750 TL","
28 Aralık

2019
","
                        DenizliMerkezefendi"
"
                        1.6 Classic","















    Sahibinden Temiz Polo
","
                    2001","
                    260.000","
                    Yeşil","
 25.000 TL","
28 Aralık

2019
","
                        DenizliPamukkale"
"
                        1.6 Sportline Classic","















    WOLKSWAGEN POLO 1,6 STATİON VAGON 1998
","
                    1998","
                    250.000","
                    Beyaz","
 25.250 TL","
28 Aralık

2019
","
                        KonyaSelçuklu"
"
                        1.6","















    TEKRAR SATIŞTA (KAPORASI YANDI)
","
                    2000","
                    250.000","
                    Kırmızı","
 28.750 TL","
28 Aralık

2019
","
                        KahramanmaraşDulkadiroğlu"
"
                        1.6","















    4 disk airbag klima
","
                    1999","
                    247.000","
                    Kırmızı","
 32.500 TL","
28 Aralık

2019
","
                        AnkaraKahramankazan"
"
                        1.4 TDi Trendline","















    2005 POLO 1.4TDİ temiz masrafsız



","
                    2005","
                    258.000","
                    Beyaz","
 34.500 TL","
28 Aralık

2019
","
                        AntalyaKepez"
"
                        1.4","















    wolsvagen polo 96
","
                    1996","
                    302.000","
                    Bordo","
 23.000 TL","
28 Aralık

2019
","
                        Samsunİlkadım"
"
                        1.6 Classic","















    KALE GALERİDEN TERTEMİZ BAKIMLI SIFIR VİZELİ POLO CLASSİC



","
                    1996","
                    248.000","
                    Mavi","
 23.000 TL","
28 Aralık

2019
","
                        AydınNazilli"
"
                        1.6 Classic","















    VOLKSWAGEN POLO 1.6 CLASSİK ULUSOY da...



","
                    1999","
                    235.000","
                    Mavi","
 20.750 TL","
28 Aralık

2019
","
                        KırklareliMerkez"
"
                        1.4 Trendline","















    2003 MODEL WW POLO 1.4 16VV TAM OTOMATİL LPG'Lİ



","
                    2003","
                    254.000","
                    Siyah","
 44.500 TL","
28 Aralık

2019
","
                        AnkaraAkyurt"
"
                        1.6 Classic","















    Memurdan temiz bakımlı classic
","
                    1997","
                    243.000","
                    Siyah","
 25.500 TL","
28 Aralık

2019
","
                        KayseriMelikgazi"
"
                        1.4 Basicline","















    Gel bak oyle al
","
                    2004","
                    299.000","
                    Beyaz","
 36.000 TL","
28 Aralık

2019
","
                        AnkaraKeçiören"
"
                        1.6 Comfortline Classic","















    1999 VW POLO 1.6 COMFORTLİNE Classic HATASIZ KLİMALI SEDAN LPG



","
                    1999","
                    241.500","
                    Kırmızı","
 27.750 TL","
28 Aralık

2019
","
                        BartınMerkez"
"
                        1.4 TDi Basicline","















    ÖZ ATADAN SATILIK 2004 1.4 POLO DIESEL



","
                    2004","
                    251.000","
                    Beyaz","
 38.000 TL","
28 Aralık

2019
","
                        AnkaraYenimahalle"
"
                        1.4 TDi Trendline","















    GÜNEŞ OTO DAN 2008 ORJİNAL POLO 14 TDİ YENİ VİZELİ MASRAFSIZ



","
                    2008","
                    253.000","
                    Siyah","
 43.000 TL","
28 Aralık

2019
","
                        AydınGermencik"
"
                        1.4 Trendline","















    VOLKSWAGEN POLO 1.4 TREDLİNE
","
                    2005","
                    251.000","
                    Gümüş Gri","
 38.500 TL","
28 Aralık

2019
","
                        AntalyaAlanya"
"
                        1.6 TDi Comfortline","















    2013 model temiz polo



","
                    2013","
                    252.000","
                    Beyaz","
 48.750 TL","
28 Aralık

2019
","
                        BursaNilüfer"
"
                        1.4 Comfortline","















    POLO 1.4 16V Comfortline
","
                    2000","
                    250.000","
                    Mavi","
 23.400 TL","
28 Aralık

2019
","
                        BursaOsmangazi"
"
                        1.4 TDi Trendline","















    BEYRUHA AUTO WW POLO 1.4 TDİ TRENDLİNE 2007



","
                    2006","
                    270.000","
                    Siyah","
 45.500 TL","
28 Aralık

2019
","
                        KonyaKaratay"
"
                        1.9 TDi Trendline Classic","















    Temiz aile araci
","
                    2000","
                    303.000","
                    Beyaz","
 26.500 TL","
28 Aralık

2019
","
                        GiresunMerkez"
"
                        1.6","















    Sahibinden Kupon Araç
","
                    1997","
                    270.000","
                    Kırmızı","
 24.250 TL","
28 Aralık

2019
","
                        AydınSöke"
"
                        1.4 Comfortline","















    ASKERİ PERSONELDEN EKONOMİNİK SATIŞDA
","
                    2005","
                    241.000","
                    Gri","
 39.900 TL","
28 Aralık

2019
","
                        KonyaEreğli"
"
                        1.6 Classic","















    CLASSİC POLO



","
                    1997","
                    263.075","
                    Kırmızı","
 20.750 TL","
28 Aralık

2019
","
                        TekirdağÇerkezköy"
"
                        1.6 Classic","















    ERENLERDEN 1997 VOLKSWAGEN POLO KLİMALI KLASSİC



","
                    1997","
                    250.000","
                    Yeşil","
 25.000 TL","
28 Aralık

2019
","
                        AntalyaAlanya"
"
                        1.4 Comfortline","















    _2012 MODEL VOLKSWAGEN POLO 1.4 COMFORTLİNE_DSG ŞANZUMAN_



","
                    2012","
                    235.000","
                    Beyaz","
 69.500 TL","
28 Aralık

2019
","
                        AntalyaKumluca"
"
                        1.4 Comfortline","















    EYMEN AUTO'DAN 1. SINIF POLO



","
                    2002","
                    302.258","
                    Kırmızı","
 28.900 TL","
28 Aralık

2019
","
                        KayseriKocasinan"
"
                        1.6 Classic","















    Polo 1.6 temiz
","
                    1998","
                    230.000","
                    Kırmızı","
 23.000 TL","
28 Aralık

2019
","
                        AnkaraAltındağ"
"
                        1.6","















    TEMİZ BAKIMLI POLO CLASSİC ACIKLAMADAKİ NUMARAYI ARAYIN



","
                    1997","
                    277.000","
                    Kırmızı","
 22.750 TL","
28 Aralık

2019
","
                        SakaryaPamukova"
"
                        1.6","















    DEĞİŞENSİZ KLİMA LPG



","
                    1998","
                    242.000","
                    Beyaz","
 23.750 TL","
28 Aralık

2019
","
                        OsmaniyeMerkez"
"
                        1.6 Comfortline Classic","















    ACIL PAZARLIKLI TEMİZ ARAÇ ARAYANLARA
","
                    2001","
                    245.000","
                    Kırmızı","
 28.250 TL","
28 Aralık

2019
","
                        AnkaraMamak"
"
                        1.2 TDi Trendline","















    2012 Polo degisensiz, masrafsız
","
                    2012","
                    230.000","
                    Beyaz","
 55.000 TL","
29 Aralık

2019
","
                        AntalyaManavgat"
"
                        1.2 TDi BlueMotion","















    işiyle deşirket aracı km ye göre temiz yarısı peşin vade yapılır



","
                    2013","
                    270.000","
                    Beyaz","
 77.500 TL","
29 Aralık

2019
","
                        İstanbulEsenyurt"
"
                        1.6 Comfortline Classic","















    sahibinden orjinal polo son fiyat
","
                    2000","
                    237.000","
                    Füme","
 27.900 TL","
29 Aralık

2019
","
                        TekirdağÇorlu"
"
                        1.4 TDi Trendline","















    GÜVEN GALERİDEN 1.4 TDİ POLO TRENDLİNE



","
                    2004","
                    301.000","
                    Beyaz","
 35.000 TL","
29 Aralık

2019
","
                        GaziantepNurdağı"
"
                        1.6 Classic","















    xxxGŪLEZ MOTORS DAN 1999 POLO KLASİKxxx



","
                    1999","
                    260.000","
                    Lacivert","
 22.000 TL","
29 Aralık

2019
","
                        AntalyaAlanya"
"
                        1.4 TDi Basicline","















    SAHİBİNDEN SATILIK 2004 1.4 TDI POLO YAKIT CİMRİSİ
","
                    2004","
                    290.000","
                    Beyaz","
 33.500 TL","
29 Aralık

2019
","
                        KayseriKocasinan"
"
                        1.6 Classic","















    Hastasına polo klasik
","
                    1997","
                    305.000","
                    Beyaz","
 23.000 TL","
29 Aralık

2019
","
                        BursaYenişehir"
"
                        1.6","















    97 klimalı polo
","
                    1997","
                    273.000","
                    Yeşil","
 24.750 TL","
29 Aralık

2019
","
                        SamsunÇarşamba"
"
                        1.6","















    orjinal araba
","
                    1997","
                    319.000","
                    Yeşil","
 23.750 TL","
29 Aralık

2019
","
                        DiyarbakırBismil"
"
                        1.6 TDi Comfortline","















    SEÇKİN OTOMOTİVDEN HATASIZ BOYASIZ 2013POLO OTOMATİK



","
                    2013","
                    234.000","
                    Beyaz","
 74.750 TL","
29 Aralık

2019
","
                        KonyaAkşehir"
"
                        1.6","















    HATİPOĞLU OTOMOTİV'DEN Volkswagen Polo 1.6 OTOMATİK



","
                    1998","
                    240.000","
                    Mavi","
 34.250 TL","
29 Aralık

2019
","
                        KonyaKaratay"
"
                        1.6","















    Klimalı düzgün Polo!



","
                    1996","
                    238.000","
                    Mavi","
 19.000 TL","
29 Aralık

2019
","
                        AfyonkarahisarMerkez"
"
                        1.4 TDi Basicline","















    SAHİBİNDEN WW POLO 1.4 TDi 2005 Model
","
                    2005","
                    258.000","
                    Beyaz","
 36.000 TL","
29 Aralık

2019
","
                        DenizliMerkezefendi"
"
                        1.6","















    99 Model Polo
","
                    1999","
                    251.000","
                    Kırmızı","
 22.500 TL","
29 Aralık

2019
","
                        KayseriMelikgazi"
"
                        1.4 Comfortline","















    2001 Otomatik Değişensiz Hasar Kayıtsız Bakımlı Memurdan
","
                    2001","
                    238.000","
                    Beyaz","
 38.750 TL","
29 Aralık

2019
","
                        SamsunÇarşamba"
"
                        1.4 Comfortline","















    yakıt cimrisi temiz polo
","
                    2001","
                    260.000","
                    Beyaz","
 32.750 TL","
29 Aralık

2019
","
                        KarabükSafranbolu"
"
                        1.6 Comfortline Classic","















    polo clasık
","
                    2001","
                    247.000","
                    Gri","
 31.000 TL","
30 Aralık

2019
","
                        SakaryaHendek"
"
                        1.4","















    son 10 gün
","
                    2001","
                    284.000","
                    Yeşil","
 27.900 TL","
30 Aralık

2019
","
                        KayseriTalas"
"
                        1.6","















    Kırmızımı satıyorum
","
                    1998","
                    263.000","
                    Kırmızı","
 25.000 TL","
30 Aralık

2019
","
                        TekirdağÇerkezköy"
"
                        1.4 Trendline","















    GÜL OTOMOTİV'DEN 2009 POLO 1.4 OTOMATİK VİTES



","
                    2009","
                    249.000","
                    Gümüş Gri","
 46.500 TL","
30 Aralık

2019
","
                        İstanbulBağcılar"
"
                        1.6 TDi Comfortline","















    SAYFADA Kİ EN GÖSTERİŞLİ ARABA
","
                    2012","
                    270.000","
                    Beyaz","
 56.000 TL","
30 Aralık

2019
","
                        İstanbulGüngören"
"
                        1.6 Classic","















    Bayandan Temiz aile arabasi sahibinden
","
                    1997","
                    283.000","
                    Mavi","
 24.000 TL","
30 Aralık

2019
","
                        AfyonkarahisarEvciler"
"
                        1.4 TDi Trendline","















    2 deyişenli bayandan temiz polo
","
                    2005","
                    233.000","
                    Beyaz","
 38.000 TL","
30 Aralık

2019
","
                        AntalyaKonyaaltı"
"
                        1.6 Classic","















    70 favoriye duyurulur
","
                    1999","
                    288.000","
                    Kırmızı","
 18.500 TL","
30 Aralık

2019
","
                        KocaeliDiğer"
"
                        1.4 Trendline","















    volkswagen polo
","
                    2002","
                    245.000","
                    Gümüş Gri","
 29.000 TL","
30 Aralık

2019
","
                        AnkaraKahramankazan"
"
                        1.4 TDi Trendline","















    SAHiBiNDEN DEGiSENSiZ POLO 1.4 TDi 2008 MODEL SIFIR MOTOR
","
                    2008","
                    285.000","
                    Beyaz","
 35.500 TL","
30 Aralık

2019
","
                        İzmirBornova"
"
                        1.6","















    temiz bakımlı aile aracı bayandan
","
                    1997","
                    240.000","
                    Kırmızı","
 29.000 TL","
30 Aralık

2019
","
                        DenizliPamukkale"
"
                        1.6 TDi Comfortline","















    2011 POLO 1,6 TDI OTOMATİK VİTES



","
                    2011","
                    249.000","
                    Beyaz","
 65.500 TL","
30 Aralık

2019
","
                        Samsunİlkadım"
"
                        1.6","















    Motosiklet takası vardır.
","
                    1997","
                    249.000","
                    Kırmızı","
 18.000 TL","
30 Aralık

2019
","
                        İstanbulFatih"
"
                        1.6 Classic","















    1998 ORJINAL KLIMALI POLO
","
                    1998","
                    263.000","
                    Bordo","
 24.600 TL","
30 Aralık

2019
","
                        BalıkesirEdremit"
"
                        1.4 Trendline","















    GÖKHAN AUTO



","
                    2001","
                    247.000","
                    Mavi","
 30.750 TL","
30 Aralık

2019
","
                        Hatayİskenderun"
"
                        1.4 TDi Comfortline","















    HASAR KAYITSIZ 2003 POLO
","
                    2003","
                    247.000","
                    Beyaz","
 36.500 TL","
30 Aralık

2019
","
                        AnkaraPolatlı"
"
                        1.6 Classic","















    DEĞİSENSİZ HASAR KAYITSIZ POLO CLASSİC 1.6
","
                    1998","
                    234.000","
                    Kırmızı","
 30.000 TL","
30 Aralık

2019
","
                        İzmirBuca"
"
                        1.4 Comfortline","















    DEĞİŞENSİZ BAKIMLI POLO GELENE YARDIMCI OLURUM
","
                    2000","
                    286.000","
                    Gümüş Gri","
 29.500 TL","
30 Aralık

2019
","
                        AnkaraSincan"
"
                        1.6","















    99 VOLKSWAGEN POLO
","
                    1999","
                    230.000","
                    Kırmızı","
 24.000 TL","
30 Aralık

2019
","
                        YalovaÇınarcık"
"
                        1.4 Highline","















    Orjinal temiz
","
                    2000","
                    248.600","
                    Gri","
 28.000 TL","
30 Aralık

2019
","
                        YozgatMerkez"
"
                        1.4 TDi Trendline","















    sahibinden polo konya
","
                    2006","
                    232.000","
                    Siyah","
 37.250 TL","
30 Aralık

2019
","
                        KonyaKaratay"
"
                        1.4 Comfortline","















    BAYANDAN DEGİŞENSİZ TEMİZ BAKIMLI
","
                    2001","
                    269.000","
                    Gümüş Gri","
 34.250 TL","
30 Aralık

2019
","
                        KayseriMelikgazi"
"
                        1.6 Classic","















    sahibinden temiz polo
","
                    1999","
                    293.000","
                    Beyaz","
 26.000 TL","
31 Aralık

2019
","
                        KayseriMelikgazi"
"
                        1.4 Sportline","















    Aracımız Antep e hayırlı olsun



","
                    1998","
                    230.214","
                    Siyah","
 25.500 TL","
31 Aralık

2019
","
                        DenizliPamukkale"
"
                        1.6","















    Acillll son fiyat
","
                    1997","
                    273.500","
                    Kırmızı","
 23.000 TL","
31 Aralık

2019
","
                        AnkaraÇankaya"
"
                        1.9 SDi","















    Polo orjinal ilk sahibinden



","
                    1998","
                    280.000","
                    Beyaz","
 24.000 TL","
31 Aralık

2019
","
                        MuğlaOrtaca"
"
                        1.4 Trendline","















    1.4 POLLO 2007 ASLAN OTOMOTİV



","
                    2007","
                    400.000","
                    Beyaz","
 36.500 TL","
31 Aralık

2019
","
                        AdanaYüreğir"
"
                        1.4 Comfortline","















    FULL//KOMPLE ORJİNAL//ABS//A İRBACK//YAĞMUR SENSÖRÜ//



","
                    2000","
                    249.000","
                    Mavi","
 36.500 TL","
31 Aralık

2019
","
                        SakaryaAdapazarı"
"
                        1.6 Comfortline Classic","















    COK TEMIZ FULL POLO 100 LÜK



","
                    1998","
                    230.000","
                    Kırmızı","
 23.500 TL","
31 Aralık

2019
","
                        AfyonkarahisarMerkez"
"
                        1.6 Classic","















    Acil satılık araç temiz
","
                    1997","
                    230.000","
                    Lacivert","
 20.750 TL","
31 Aralık

2019
","
                        İstanbulPendik"
"
                        1.4 Comfortline","















    İhtiyaçdan dolayı satılık polo.
","
                    2000","
                    244.420","
                    Beyaz","
 28.750 TL","
31 Aralık

2019
","
                        MersinYenişehir"
"
                        1.6 Comfortline Classic","















    full orjinal satlık
","
                    1998","
                    273.000","
                    Yeşil","
 23.750 TL","
31 Aralık

2019
","
                        MersinToroslar"
"
                        1.4 Trendline","















    2005 POLO 1.4 lpg



","
                    2005","
                    235.000","
                    Beyaz","
 31.500 TL","
31 Aralık

2019
","
                        KonyaKaratay"
"
                        1.6 Comfortline Classic","















    ACİL FİYATİ DÜŞTÜ
","
                    1998","
                    258.000","
                    Gri","
 23.200 TL","
31 Aralık

2019
","
                        MersinToroslar"
"
                        1.6 Classic","















    VW POLO 1.6 -açıklamayı oku-
","
                    2000","
                    233.000","
                    Siyah","
 26.350 TL","
31 Aralık

2019
","
                        İstanbulÜsküdar"
"
                        1.6","















    97 MODEL ORJİNAL,OTOMATİK VİTES KLİMALI 1.6 LPG,Lİ POLO HB



","
                    1997","
                    250.000","
                    Mavi","
 27.250 TL","
31 Aralık

2019
","
                        ManisaAlaşehir"
"
                        1.4 Trendline","















    2007 80 HP memurdan POLO
","
                    2007","
                    243.000","
                    Beyaz","
 43.750 TL","
31 Aralık

2019
","
                        BilecikBozüyük"
"
                        1.6","















    ACİL ACİL SATLIK
","
                    2000","
                    249.000","
                    Mavi","
 23.950 TL","
31 Aralık

2019
","
                        MersinToroslar"
"
                        1.6","















    Değişensiz Volkswagen Polo
","
                    1998","
                    255.000","
                    Kırmızı","
 25.000 TL","
31 Aralık

2019
","
                        İzmirKonak"
"
                        1.4 TDi Trendline","















    temiz sahibinden
","
                    2004","
                    235.000","
                    Beyaz","
 40.000 TL","
31 Aralık

2019
","
                        YozgatSarıkaya"
"
                        1.6 Comfortline","















    Volkswagen polo 1.6 Sahibinden
","
                    1998","
                    340.000","
                    Yeşil","
 25.000 TL","
01 Ocak

2020
","
                        SakaryaAkyazı"
"
                        1.6","















    KAYRA OTO DAN MASRAFSIZ KLİMALI TEMİZ POLO



","
                    1998","
                    280.000","
                    Kırmızı","
 20.900 TL","
01 Ocak

2020
","
                        AntalyaKepez"
