model,ad_title,year,km,color,price,ad_date,location,city
                        1.6 TDi Comfortline,    HACILAR-2011 VW POLO 1.6 TDI COMFORTLİNE OTOMATİK 94.000 KM,2011,94000.0,                    Siyah,82900.0,2019-12-27,                        KonyaKaratay,Konya
                        1.6 TDi Comfortline,    YÜZBAŞIOĞLU'NDAN 2012 POLO 1.6 TDI COMFORTLINE DSG,2012,95000.0,                    Siyah,79900.0,2019-12-27,                        İstanbulÇekmeköy,İstanbul
                        1.4 Comfortline,    2011 POLO 1.4 COMFORTLİNE HATASIZ BOYASIZ ORJINAL 93 BINDE,2011,93200.0,                    Beyaz,70500.0,2019-12-27,                        AdıyamanMerkez,Adıyaman
                        1.4 TDi Comfortline,    2016 POLO 1.4 TDI BMT COMFORTLINE DSG,2016,85000.0,                    Beyaz,106000.0,2019-12-27,                        İstanbulSilivri,İstanbul
                        1.0 Trendline,    BEY MOTORS 2017 1.0 VW POLO,2017,96000.0,                    Beyaz,55000.0,2019-12-27,                        DenizliPamukkale,Denizli
                        1.4 Trendline,    2009 VW POLO 1.4 80 HP TRENDLİNE TİPTRONİC,2009,107717.00000000001,                    Gri,66750.0,2019-12-27,                        SakaryaSerdivan,Sakarya
                        1.4 TDi Comfortline,    HATASIZ KAZASIZ BOYASIZ 2016 MOD. DSG OTOMATİK VİTES COMFORTLİNE,2016,95500.0,                    Beyaz,107500.0,2019-12-27,                        KayseriKocasinan,Kayseri
                        1.4 TDi Bluemotion,    hatasız boyasız,2015,115000.0,                    Beyaz,87500.0,2019-12-27,                        İstanbulKartal,İstanbul
                        1.6 TDi Comfortline,    OTOMATİK 2013 MODEL VW.POLO 1.6 TDİ COMFORTLİNE 90 PS 113.000 KM,2013,113000.0,                    Beyaz,68750.0,2019-12-27,                        SakaryaErenler,Sakarya
                        1.4 Comfortline,    Satılık hatasız 87 bin km,2012,87000.0,                    Beyaz,74500.0,2019-12-27,                        UşakEşme,Uşak
